top_depth,bot_depth,top_age,bot_age,vol,char_c,char_a
496.94,497.96,9785,9800,1,1,0.013
497.96,498.57,9800,9809,1,6,0.3301
498.57,499.18,9809,9819,1,2,0.0537
499.18,499.78,9819,9828,1,0,0
499.78,500.39,9828,9838,1,0,0
500.39,501,9838,9848,1,0,0
501,502,9848,9865,1,1,0.0353
502,503,9865,9882,1,7,0.4662
503,504,9882,9900,1,6,0.3009
504,505,9900,9918,1,7,0.2672
505,506,9918,9937,1,2,0.0877
506,507,9937,9956,1,3,0.0873
507,508,9956,9976,1,2,0.1283
508,509,9976,9997,1,3,0.111
509,510,9997,10018,1,5,0.2187
510,511,10018,10039,1,3,0.1339
511,512,10039,10060,1,3,0.1071
512,513,10060,10082,1,1,0.0387
513,514,10082,10104,1,4,0.1188
514,515,10104,10127,1,5,0.2403
515,516,10127,10150,1,1,0.0615
516,517,10150,10172,1,2,0.1266
517,518,10172,10195,1,1,0.0443
518,519,10195,10218,1,0,0
519,520,10218,10242,1,2,0.1142
520,521,10242,10265,1,2,0.092
521,522,10265,10288,1,4,0.2179
522,523,10288,10311,1,10,0.7194
523,524,10311,10334,1,0,0
524,525,10334,10358,1,1,0.0142
525,526,10358,10382,1,2,0.0636
526,527,10382,10406,1,3,0.0399
527,528,10406,10431,1,8,0.5954
528,529,10431,10457,1,1,0.0031
529,530,10457,10483,1,3,0.0875
530,531,10483,10509,1,0,0
531,532,10509,10537,1,1,0.6565
532,533,10537,10565,1,0,0
533,534,10565,10595,1,5,0.1321
534,535,10595,10625,1,9,0.4556
535,536,10625,10657,1,8,0.2481
536,537,10657,10690,1,10,0.3875
537,538,10690,10724,1,16,1.1267
538,539,10724,10759,1,9,0.5109
539,540,10759,10796,1,10,0.9284
540,541,10796,10834,1,6,0.7004
541,542,10834,10874,1,33,1.4766
542,543,10874,10916,1,35,0.7617
543,544,10916,10960,1,4,0.2217
544,545,10960,11005,1,5,0.0803
545,546,11005,11052,1,1,0.0487
546,547,11052,11102,1,6,0.2964
547,548,11102,11153,1,4,0.2872
548,549,11153,11206,1,25,1.267
549,550,11206,11261,1,2,0.0066
550,551,11261,11316,1,53,4.436
